landslide_id,longitude,latitude,utm_x,utm_y,label
LS_00287,80.96535046895346,7.036741256713867,496173.22359783016,777810.6292215763,1
LS_00290,80.96472644805908,7.021625518798828,496104.1793507692,776139.6395797005,1
LS_00292,80.95984363555908,7.001970291137695,495564.70654752513,773966.8641022786,1
LS_00295,81.04488547643027,7.065513610839844,504956.9528164533,780991.4171980273,1
LS_00297,81.17777114055312,7.106709150278085,519630.54153336666,785548.9868150066,1
LS_00299,81.17133013407388,7.105926513671875,518919.31737290055,785462.2002055356,1
LS_00300,81.17259502410889,7.113002777099609,519058.7030005554,786244.5155716444,1
LS_00301,81.16683053970337,7.111457824707031,518422.2230211791,786073.4914444461,1
LS_00304,81.15374612808228,7.12211799621582,516976.9846462719,787251.4460581233,1
LS_00308,81.1630564265781,7.098564147949219,518005.96808883443,784647.9796305471,1
LS_00312,81.16763553619384,7.090301513671875,518511.9606995206,783734.7468951194,1
LS_00315,81.17915855754507,7.08833122253418,519784.5337515959,783517.4115159106,1
LS_00321,81.09365940093994,7.062713623046875,510343.39427147707,780682.6880487556,1
LS_00327,81.11439590454101,7.081878662109375,512632.938135988,782801.8385499829,1
LS_00328,81.10617923736572,7.053678512573242,511726.2671204466,779684.1802401015,1
LS_00329,81.10938630785262,7.062437057495117,512080.22419442196,780652.4929454166,1
LS_00330,81.14111920886252,7.082880752256436,515584.01061111543,782913.4281348577,1
LS_00331,81.1775647163391,7.062419891357422,519609.6182754439,780652.9134579654,1
LS_00332,81.1741590499878,7.067926406860352,519233.2798179359,781261.502150789,1
LS_00334,81.17853060635653,7.050458908081055,519716.7942241194,779330.6995432134,1
LS_00335,81.17767129989869,7.041851043701172,519622.25469840114,778379.0874393118,1
LS_00336,81.19094467163086,7.041513442993164,521088.2038913649,778342.344689513,1
LS_00337,81.19641314482175,7.044598051329725,521692.008874141,778683.5902971776,1
LS_00340,81.2208200754053,7.050400665006248,524387.236815861,779326.2587474759,1
LS_00341,81.21955915371635,7.02498002584746,524249.3001275074,776516.0048953635,1
LS_00346,81.21966489156088,7.032831192016601,524260.57125152234,777383.9368611025,1
LS_00347,81.20056533813477,7.024534225463867,522151.53276574897,776465.7822233578,1
LS_00348,81.22142219543457,7.042675018310547,524454.1398089973,778472.2388762863,1
LS_00350,81.16990694632898,7.012855529785156,518765.90956617944,775173.3975618561,1
LS_00353,81.17538070678711,7.017122268676758,519370.3018230239,775645.2956239163,1
LS_00354,81.14838886260986,7.009729385375977,516389.3805010023,774827.0058493267,1
LS_00355,81.1340939203898,7.020551681518555,514810.1755188351,776022.9021459656,1
LS_00357,81.131019115448,6.980562210083008,514471.80621191004,771602.0973161047,1
LS_00359,81.14018806037438,6.9696002163232285,515484.93028182234,770390.5759577717,1
LS_00363,81.13713312149048,6.975109100341797,515147.3094533067,770999.4658818224,1
LS_00365,81.12383460998535,6.937723159790039,513679.47563179233,766866.1717267474,1
LS_00366,81.05505164464316,6.925617218017578,506081.46937908744,765526.4723615205,1
LS_00368,81.09670738008117,6.921538776331795,510683.20863206306,765076.3504415926,1
LS_00371,81.1243839263916,6.909837722778319,513740.9630695317,763783.5520441408,1
LS_00373,81.13429737091064,6.92680549621582,514835.5951630759,765659.5765682334,1
LS_00377,81.12760776943631,6.917520523071289,514096.88090179715,764632.9521678176,1
LS_00378,81.13019680976868,6.93525505065918,514382.3564500284,766593.5190566008,1
LS_00380,81.01707663536072,7.044254302978516,501885.9536914129,778641.0645776202,1
LS_00382,80.51899562162512,6.828834533691406,446852.8381984313,754853.7115761922,1
