landslide_id,status,scene_id,scene_cloud,patch_cloud,acquisition_date,window_used,tif_path,png_path,error
LS_00514,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00514.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00514.png,
LS_00515,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00515.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00515.png,
LS_00516,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00516.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00516.png,
LS_00520,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00520.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00520.png,
LS_00521,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,5.03,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00521.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00521.png,
LS_00522,success,S2B_MSIL2A_20251110T045929_R119_T44NMN_20251110T083118,59.061468,0.0,2025-11-10,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00522.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00522.png,
LS_00524,success,S2B_MSIL2A_20251110T045929_R119_T44NMN_20251110T083118,59.061468,14.36,2025-11-10,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00524.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00524.png,
LS_00525,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00525.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00525.png,
LS_00526,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00526.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00526.png,
LS_00527,success,S2B_MSIL2A_20251001T045659_R119_T44NMN_20251001T082912,44.625133,0.27,2025-10-01,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00527.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00527.png,
LS_00528,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00528.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00528.png,
LS_00530,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00530.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00530.png,
LS_00532,success,S2B_MSIL2A_20251031T045839_R119_T44NMN_20251031T072153,14.801013,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00532.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00532.png,
